,Financial Year,2014-2015,,,,,,2015-2016,,,,,,,,
,Quarter,Qtr 3 Jan-Mar 2015,,,Qtr 4 Apr-Jun 2015,,,Qtr 1 Jul-Sep 2015,,,Qtr 2 Oct-Dec 2015,,,Qtr 3 Jan-Mar 2016,,
UCL Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number
Albury - Wodonga (Wodonga Part),Code 1,76.62%,785,462,84.91%,712,444,89.66%,622,551,87.18%,656,515,87.19%,659,531
Bacchus Marsh,Code 1,71.58%,837,183,73.39%,790,218,59.91%,921,217,64.95%,864,214,70.43%,816,186
Bairnsdale,Code 1,73.85%,792,260,79.87%,758,298,75.42%,808,354,79.56%,747,318,76.92%,747,286
Ballarat,Code 1,83.76%,701,1367,84.81%,687,1415,86.06%,684,1442,87.97%,684,1347,84.05%,708,1348
Benalla,Code 1,65.61%,952,157,72.19%,849,169,74.65%,775,142,69.93%,868,153,67.90%,912,162
Bendigo,Code 1,74.31%,789,1347,78.35%,748,1446,78.15%,758,1579,79.23%,761,1502,79.90%,761,1423
Castlemaine,Code 1,73.29%,886,146,69.57%,915,115,61.87%,975,139,55.56%,1037,162,67.44%,909,129
Colac,Code 1,76.92%,878,117,77.70%,786,148,80.31%,785,127,82.01%,733,139,72.22%,958,108
Drouin,Code 1,43.84%,1240,146,54.14%,1106,157,45.15%,1143,206,46.32%,1118,190,42.69%,1069,171
Drysdale - Clifton Springs,Code 1,57.97%,934,138,65.57%,851,122,62.96%,880,135,59.42%,900,138,65.47%,861,139
Echuca - Moama (Echuca Part),Code 1,75.79%,787,252,78.51%,781,242,75.83%,810,240,77.78%,817,216,74.14%,791,232
Geelong,Code 1,78.40%,755,2495,80.86%,725,2581,80.40%,740,2872,78.33%,742,2616,78.83%,749,2693
Gisborne,Code 1,70.53%,837,95,65.71%,817,105,61.86%,812,118,72.44%,767,127,72.44%,771,127
Hamilton,Code 1,88.39%,620,112,84.50%,675,129,89.84%,607,128,92.91%,592,127,94.59%,571,111
Healesville,Code 1,56.25%,967,160,59.17%,928,169,57.66%,939,137,54.44%,1055,169,57.05%,996,156
Horsham,Code 1,92.31%,572,286,86.75%,610,249,87.50%,618,328,91.53%,580,307,93.93%,531,280
Lara,Code 1,76.42%,787,123,74.81%,757,131,62.86%,902,140,76.69%,812,133,78.10%,782,137
Leopold,Code 1,70.49%,754,122,71.52%,759,151,83.20%,684,125,78.13%,759,128,76.92%,780,143
Melbourne,Code 1,82.16%,706,50862,82.91%,699,51844,79.97%,732,57318,81.79%,713,54948,81.97%,711,53320
Melton,Code 1,70.48%,761,891,69.97%,799,939,65.89%,862,1026,71.24%,804,918,74.81%,759,937
Mildura - Buronga (Mildura Part),Code 1,90.99%,565,644,90.54%,584,708,93.23%,549,709,90.21%,580,664,91.35%,581,694
Moe - Newborough,Code 1,60.75%,931,456,62.72%,879,448,64.01%,862,489,60.77%,889,469,65.93%,828,452
Morwell,Code 1,72.42%,813,446,77.04%,743,453,75.97%,757,462,78.69%,758,488,78.99%,749,457
Ocean Grove - Barwon Heads,Code 1,55.56%,927,198,69.44%,854,180,63.37%,956,172,62.50%,913,200,65.44%,866,217
Pakenham,Code 1,80.07%,726,587,77.24%,755,646,77.41%,742,664,76.56%,749,610,77.33%,753,644
Portland (Vic.),Code 1,80.42%,747,143,85.50%,647,131,88.81%,634,134,84.46%,671,148,85.19%,664,135
Sale,Code 1,84.57%,648,162,83.52%,618,176,81.52%,649,184,82.99%,625,194,88.08%,633,193
