"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",123182.215866667,123245,123560.288570587,2718.1,0.95,119970,126185,NA,NA,NA,NA,NA,NA,NA
"b1[1] Assis",-41882.12062,-41940.2,-41960.9603188464,2807.1,0.95,-44977.2,-38524.1,NA,NA,NA,NA,NA,NA,NA
"b1[2] Assoc",-29417.23272,-29484.15,-29650.4618038058,2527.6,0.95,-32661.8,-26165.2,NA,NA,NA,NA,NA,NA,NA
"b1[3] Full",-1756.44337720747,-1815.965,-2003.69346629236,3114.8,0.95,-5243.86,1993.57,NA,NA,NA,NA,NA,NA,NA
"b1[4] Endow",23069.7655533333,23040,23337.7850249014,3382.5,0.95,17798.3,28639.8,NA,NA,NA,NA,NA,NA,NA
"b1[5] Disting",49986.0302133333,50238.45,50307.7995424396,2477.9,0.95,38631.9,61106.3,NA,NA,NA,NA,NA,NA,NA
"b2[1] ACTG",96694.2226266667,96891.85,97137.1104061943,2998.5,0.95,88893.3,104266,NA,NA,NA,NA,NA,NA,NA
"b2[2] AFRO",-13479.38565142,-13466.7,-13641.742966076,11881.7,0.95,-25048.2,-2093.54,NA,NA,NA,NA,NA,NA,NA
"b2[3] AMST",-17855.7444286667,-17861.35,-17454.7317567191,1953.8,0.95,-24591.2,-11024.5,NA,NA,NA,NA,NA,NA,NA
"b2[4] ANTH",-19734.2867286667,-19765.45,-19432.3689797576,3588.3,0.95,-26640.5,-12180.9,NA,NA,NA,NA,NA,NA,NA
"b2[5] APHS",-3449.10071815933,-3460.035,-3597.65721744114,1903.3,0.95,-9586.82,2927.89,NA,NA,NA,NA,NA,NA,NA
"b2[6] AST",-11861.6204877933,-12055.15,-12179.0877847083,2398.4,0.95,-20785.1,-3624.54,NA,NA,NA,NA,NA,NA,NA
"b2[7] BEPP",47081.8063866667,47120.3,46296.05308299,18.9,0.95,39004.3,55578.3,NA,NA,NA,NA,NA,NA,NA
"b2[8] BFIN",116186.8548,116290.5,116579.771565169,8415.4,0.95,108117,123816,NA,NA,NA,NA,NA,NA,NA
"b2[9] BI",-4276.7518157964,-4324.61,-4460.19016358921,167,0.95,-8916.51,463.155,NA,NA,NA,NA,NA,NA,NA
"b2[10] BLAN",20507.4013249333,20460.05,20342.3117804418,8664.3,0.95,12813.3,28523.8,NA,NA,NA,NA,NA,NA,NA
"b2[11] CEDP",-16306.0925233333,-16285.9,-15996.8805737815,6112.5,0.95,-22084.1,-10987.1,NA,NA,NA,NA,NA,NA,NA
"b2[12] CEUS",-14558.6727186933,-14610.8,-14220.2058647475,11821.7,0.95,-24729.3,-3514.61,NA,NA,NA,NA,NA,NA,NA
"b2[13] CHEM",10872.36039052,10848.4,10748.7304034255,1666.8,0.95,3346.39,17961,NA,NA,NA,NA,NA,NA,NA
"b2[14] CMCL",-18214.9179119333,-18298.45,-18973.1421727316,4202.8,0.95,-24813.9,-11363.5,NA,NA,NA,NA,NA,NA,NA
"b2[15] CMLT",-21731.167078,-21761.1,-21967.5671640556,7625.7,0.95,-29630.4,-14114.4,NA,NA,NA,NA,NA,NA,NA
"b2[16] CRIN",-20954.0311,-20973,-20984.2753637946,3384.1,0.95,-25084.6,-16762,NA,NA,NA,NA,NA,NA,NA
"b2[17] CSCI",13768.9049273333,13796.6,13834.8018400412,2815,0.95,8123.66,19239.6,NA,NA,NA,NA,NA,NA,NA
"b2[18] EALC",-18599.2696093333,-18641.55,-18864.6276619513,5250.8,0.95,-24423,-12734.6,NA,NA,NA,NA,NA,NA,NA
"b2[19] ECON",42442.96998,42057.6,41095.3497246526,2492.6,0.95,30916.1,55559.6,NA,NA,NA,NA,NA,NA,NA
"b2[20] ELPS",-11256.251893762,-11335.95,-11964.7408761133,10255.3,0.95,-19158.7,-3167.76,NA,NA,NA,NA,NA,NA,NA
"b2[21] ENG",-16283.5313653333,-16277.7,-16331.4400072233,4368.1,0.95,-21408.7,-11310.6,NA,NA,NA,NA,NA,NA,NA
"b2[22] FINH",-21292.836526,-21273.6,-21388.6849148773,3839.8,0.95,-28817.3,-14281.5,NA,NA,NA,NA,NA,NA,NA
"b2[23] FINS",-18258.2006033333,-18142.5,-17926.7648901875,5497.7,0.95,-25857.1,-10268.2,NA,NA,NA,NA,NA,NA,NA
"b2[24] FOLK",-20266.1816406667,-20264.35,-20304.7759955167,6124.9,0.95,-27154.8,-13745.1,NA,NA,NA,NA,NA,NA,NA
"b2[25] FRIT",-18518.9251536667,-18494.35,-18944.8538246177,8442.2,0.95,-27744.4,-9317.1,NA,NA,NA,NA,NA,NA,NA
"b2[26] GEOG",-9900.19939787267,-10035.1,-10249.1137243191,7852.9,0.95,-18275.7,-1441.9,NA,NA,NA,NA,NA,NA,NA
"b2[27] GEOL",-11974.40469,-11952.5,-11816.3823305984,3021.3,0.95,-17953.1,-6200.67,NA,NA,NA,NA,NA,NA,NA
"b2[28] GERM",-24118.5227944067,-24110.1,-24482.8611271562,9901.6,0.95,-34714,-12493.7,NA,NA,NA,NA,NA,NA,NA
"b2[29] HIST",-11904.5023813333,-11881.15,-11939.7151518056,4941.4,0.95,-17157.1,-6942,NA,NA,NA,NA,NA,NA,NA
"b2[30] INFO",11029.1907147733,11018.15,11092.6879263351,9890.1,0.95,4523.67,17706.5,NA,NA,NA,NA,NA,NA,NA
"b2[31] JOUR",-13635.4159099333,-13613.25,-13649.8517579212,3439.6,0.95,-19406.5,-7781.31,NA,NA,NA,NA,NA,NA,NA
"b2[32] KINE",-7870.22776125067,-7888.3,-7794.35091201226,9350.2,0.95,-14221.5,-1376.83,NA,NA,NA,NA,NA,NA,NA
"b2[33] LAWS",47857.97252,47888.65,47905.8164735935,345.8,0.95,40707.3,54791,NA,NA,NA,NA,NA,NA,NA
"b2[34] LGED",-20048.5956106667,-20055.8,-19872.1737523516,1463.1,0.95,-25903.6,-13723.7,NA,NA,NA,NA,NA,NA,NA
"b2[35] LING",-12973.1097176007,-12959.25,-13400.2932498978,10257.3,0.95,-22319.1,-3741.57,NA,NA,NA,NA,NA,NA,NA
