"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"Unknown","Unknown","abstudy__non_living_allowance_",57
"Banks","New South Wales","abstudy__non_living_allowance_",27
"Barton","New South Wales","abstudy__non_living_allowance_",28
"Bennelong","New South Wales","abstudy__non_living_allowance_",20
"Berowra","New South Wales","abstudy__non_living_allowance_",20
"Blaxland","New South Wales","abstudy__non_living_allowance_",46
"Bradfield","New South Wales","abstudy__non_living_allowance_",44
"Calare","New South Wales","abstudy__non_living_allowance_",366
"Charlton","New South Wales","abstudy__non_living_allowance_",181
"Chifley","New South Wales","abstudy__non_living_allowance_",407
"Cook","New South Wales","abstudy__non_living_allowance_",36
"Cowper","New South Wales","abstudy__non_living_allowance_",496
"Cunningham","New South Wales","abstudy__non_living_allowance_",101
"Dobell","New South Wales","abstudy__non_living_allowance_",187
"Eden-Monaro","New South Wales","abstudy__non_living_allowance_",193
"Farrer","New South Wales","abstudy__non_living_allowance_",325
"Fowler","New South Wales","abstudy__non_living_allowance_",113
"Gilmore","New South Wales","abstudy__non_living_allowance_",283
"Grayndler","New South Wales","abstudy__non_living_allowance_",77
"Greenway","New South Wales","abstudy__non_living_allowance_",75
"Hughes","New South Wales","abstudy__non_living_allowance_",30
"Hume","New South Wales","abstudy__non_living_allowance_",135
"Hunter","New South Wales","abstudy__non_living_allowance_",190
"Kingsford Smith","New South Wales","abstudy__non_living_allowance_",94
"Lindsay","New South Wales","abstudy__non_living_allowance_",213
"Lyne","New South Wales","abstudy__non_living_allowance_",338
"Macarthur","New South Wales","abstudy__non_living_allowance_",203
"Mackellar","New South Wales","abstudy__non_living_allowance_",20
"Macquarie","New South Wales","abstudy__non_living_allowance_",93
"McMahon","New South Wales","abstudy__non_living_allowance_",43
"Mitchell","New South Wales","abstudy__non_living_allowance_",20
"New England","New South Wales","abstudy__non_living_allowance_",750
"Newcastle","New South Wales","abstudy__non_living_allowance_",130
"North Sydney","New South Wales","abstudy__non_living_allowance_",59
"Page","New South Wales","abstudy__non_living_allowance_",425
"Parkes","New South Wales","abstudy__non_living_allowance_",1202
"Parramatta","New South Wales","abstudy__non_living_allowance_",37
"Paterson","New South Wales","abstudy__non_living_allowance_",193
"Reid","New South Wales","abstudy__non_living_allowance_",20
"Richmond","New South Wales","abstudy__non_living_allowance_",175
"Riverina","New South Wales","abstudy__non_living_allowance_",331
"Robertson","New South Wales","abstudy__non_living_allowance_",96
"Shortland","New South Wales","abstudy__non_living_allowance_",167
"Sydney","New South Wales","abstudy__non_living_allowance_",105
"Throsby","New South Wales","abstudy__non_living_allowance_",177
"Warringah","New South Wales","abstudy__non_living_allowance_",20
"Watson","New South Wales","abstudy__non_living_allowance_",20
"Wentworth","New South Wales","abstudy__non_living_allowance_",76
"Werriwa","New South Wales","abstudy__non_living_allowance_",116
"Aston","Victoria","abstudy__non_living_allowance_",20
"Ballarat","Victoria","abstudy__non_living_allowance_",42
"Batman","Victoria","abstudy__non_living_allowance_",58
"Bendigo","Victoria","abstudy__non_living_allowance_",56
"Bruce","Victoria","abstudy__non_living_allowance_",20
"Calwell","Victoria","abstudy__non_living_allowance_",30
"Casey","Victoria","abstudy__non_living_allowance_",37
"Chisholm","Victoria","abstudy__non_living_allowance_",20
"Corangamite","Victoria","abstudy__non_living_allowance_",39
"Corio","Victoria","abstudy__non_living_allowance_",53
"Deakin","Victoria","abstudy__non_living_allowance_",20
"Dunkley","Victoria","abstudy__non_living_allowance_",27
"Flinders","Victoria","abstudy__non_living_allowance_",33
"Gellibrand","Victoria","abstudy__non_living_allowance_",20
"Gippsland","Victoria","abstudy__non_living_allowance_",107
"Goldstein","Victoria","abstudy__non_living_allowance_",20
"Gorton","Victoria","abstudy__non_living_allowance_",21
"Higgins","Victoria","abstudy__non_living_allowance_",20
"Holt","Victoria","abstudy__non_living_allowance_",36
"Hotham","Victoria","abstudy__non_living_allowance_",20
"Indi","Victoria","abstudy__non_living_allowance_",41
"Isaacs","Victoria","abstudy__non_living_allowance_",20
"Jagajaga","Victoria","abstudy__non_living_allowance_",20
"Kooyong","Victoria","abstudy__non_living_allowance_",20
"La Trobe","Victoria","abstudy__non_living_allowance_",20
"Lalor","Victoria","abstudy__non_living_allowance_",46
"Mallee","Victoria","abstudy__non_living_allowance_",162
"Maribyrnong","Victoria","abstudy__non_living_allowance_",20
"McEwen","Victoria","abstudy__non_living_allowance_",32
"McMillan","Victoria","abstudy__non_living_allowance_",35
"Melbourne","Victoria","abstudy__non_living_allowance_",20
"Melbourne Ports","Victoria","abstudy__non_living_allowance_",20
"Menzies","Victoria","abstudy__non_living_allowance_",20
"Murray","Victoria","abstudy__non_living_allowance_",129
"Scullin","Victoria","abstudy__non_living_allowance_",29
"Wannon","Victoria","abstudy__non_living_allowance_",84
"Wills","Victoria","abstudy__non_living_allowance_",20
"Blair","Queensland","abstudy__non_living_allowance_",246
"Bonner","Queensland","abstudy__non_living_allowance_",71
"Bowman","Queensland","abstudy__non_living_allowance_",66
"Brisbane","Queensland","abstudy__non_living_allowance_",37
"Capricornia","Queensland","abstudy__non_living_allowance_",275
"Dawson","Queensland","abstudy__non_living_allowance_",273
"Dickson","Queensland","abstudy__non_living_allowance_",72
"Fadden","Queensland","abstudy__non_living_allowance_",66
"Fairfax","Queensland","abstudy__non_living_allowance_",75
"Fisher","Queensland","abstudy__non_living_allowance_",56
"Flynn","Queensland","abstudy__non_living_allowance_",318
"Forde","Queensland","abstudy__non_living_allowance_",108
"Griffith","Queensland","abstudy__non_living_allowance_",44
"Groom","Queensland","abstudy__non_living_allowance_",228
"Herbert","Queensland","abstudy__non_living_allowance_",568
"Hinkler","Queensland","abstudy__non_living_allowance_",284
"Kennedy","Queensland","abstudy__non_living_allowance_",1100
"Leichhardt","Queensland","abstudy__non_living_allowance_",1672
"Lilley","Queensland","abstudy__non_living_allowance_",92
"Longman","Queensland","abstudy__non_living_allowance_",162
"Maranoa","Queensland","abstudy__non_living_allowance_",341
"McPherson","Queensland","abstudy__non_living_allowance_",57
"Moncrieff","Queensland","abstudy__non_living_allowance_",55
"Moreton","Queensland","abstudy__non_living_allowance_",58
"Oxley","Queensland","abstudy__non_living_allowance_",173
"Petrie","Queensland","abstudy__non_living_allowance_",122
"Rankin","Queensland","abstudy__non_living_allowance_",184
"Ryan","Queensland","abstudy__non_living_allowance_",52
"Wide Bay","Queensland","abstudy__non_living_allowance_",217
"Wright","Queensland","abstudy__non_living_allowance_",106
"Adelaide","South Australia","abstudy__non_living_allowance_",52
"Barker","South Australia","abstudy__non_living_allowance_",133
"Boothby","South Australia","abstudy__non_living_allowance_",42
"Grey","South Australia","abstudy__non_living_allowance_",377
"Hindmarsh","South Australia","abstudy__non_living_allowance_",38
"Kingston","South Australia","abstudy__non_living_allowance_",79
"Makin","South Australia","abstudy__non_living_allowance_",68
"Mayo","South Australia","abstudy__non_living_allowance_",48
"Port Adelaide","South Australia","abstudy__non_living_allowance_",152
"Sturt","South Australia","abstudy__non_living_allowance_",43
"Wakefield","South Australia","abstudy__non_living_allowance_",143
"Brand","Western Australia","abstudy__non_living_allowance_",106
"Canning","Western Australia","abstudy__non_living_allowance_",121
"Cowan","Western Australia","abstudy__non_living_allowance_",62
"Curtin","Western Australia","abstudy__non_living_allowance_",56
"Durack","Western Australia","abstudy__non_living_allowance_",1126
"Forrest","Western Australia","abstudy__non_living_allowance_",131
"Fremantle","Western Australia","abstudy__non_living_allowance_",95
"Hasluck","Western Australia","abstudy__non_living_allowance_",184
"Moore","Western Australia","abstudy__non_living_allowance_",21
"O'Connor","Western Australia","abstudy__non_living_allowance_",326
"Pearce","Western Australia","abstudy__non_living_allowance_",162
"Perth","Western Australia","abstudy__non_living_allowance_",85
"Stirling","Western Australia","abstudy__non_living_allowance_",81
"Swan","Western Australia","abstudy__non_living_allowance_",154
"Tangney","Western Australia","abstudy__non_living_allowance_",20
"Bass","Tasmania","abstudy__non_living_allowance_",93
"Braddon","Tasmania","abstudy__non_living_allowance_",140
"Denison","Tasmania","abstudy__non_living_allowance_",86
"Franklin","Tasmania","abstudy__non_living_allowance_",84
"Lyons","Tasmania","abstudy__non_living_allowance_",116
"Lingiari","Northern Territory","abstudy__non_living_allowance_",2468
"Solomon","Northern Territory","abstudy__non_living_allowance_",417
"Canberra","Australian Capital Territory","abstudy__non_living_allowance_",80
"Fraser","Australian Capital Territory","abstudy__non_living_allowance_",77
"Unknown","Unknown","abstudy__living_allowance_",20
"Banks","New South Wales","abstudy__living_allowance_",20
"Barton","New South Wales","abstudy__living_allowance_",22
"Bennelong","New South Wales","abstudy__living_allowance_",23
"Berowra","New South Wales","abstudy__living_allowance_",20
"Blaxland","New South Wales","abstudy__living_allowance_",25
"Bradfield","New South Wales","abstudy__living_allowance_",20
"Calare","New South Wales","abstudy__living_allowance_",105
"Charlton","New South Wales","abstudy__living_allowance_",73
"Chifley","New South Wales","abstudy__living_allowance_",96
"Cook","New South Wales","abstudy__living_allowance_",32
"Cowper","New South Wales","abstudy__living_allowance_",167
"Cunningham","New South Wales","abstudy__living_allowance_",93
"Dobell","New South Wales","abstudy__living_allowance_",79
"Eden-Monaro","New South Wales","abstudy__living_allowance_",54
"Farrer","New South Wales","abstudy__living_allowance_",62
"Fowler","New South Wales","abstudy__living_allowance_",22
"Gilmore","New South Wales","abstudy__living_allowance_",71
"Grayndler","New South Wales","abstudy__living_allowance_",67
"Greenway","New South Wales","abstudy__living_allowance_",37
"Hughes","New South Wales","abstudy__living_allowance_",20
"Hume","New South Wales","abstudy__living_allowance_",56
"Hunter","New South Wales","abstudy__living_allowance_",57
"Kingsford Smith","New South Wales","abstudy__living_allowance_",101
"Lindsay","New South Wales","abstudy__living_allowance_",71
"Lyne","New South Wales","abstudy__living_allowance_",75
"Macarthur","New South Wales","abstudy__living_allowance_",60
"Mackellar","New South Wales","abstudy__living_allowance_",20
"Macquarie","New South Wales","abstudy__living_allowance_",50
"McMahon","New South Wales","abstudy__living_allowance_",20
"Mitchell","New South Wales","abstudy__living_allowance_",20
"New England","New South Wales","abstudy__living_allowance_",207
"Newcastle","New South Wales","abstudy__living_allowance_",129
"North Sydney","New South Wales","abstudy__living_allowance_",20
"Page","New South Wales","abstudy__living_allowance_",123
"Parkes","New South Wales","abstudy__living_allowance_",309
"Parramatta","New South Wales","abstudy__living_allowance_",22
"Paterson","New South Wales","abstudy__living_allowance_",45
"Reid","New South Wales","abstudy__living_allowance_",20
"Richmond","New South Wales","abstudy__living_allowance_",81
"Riverina","New South Wales","abstudy__living_allowance_",91
"Robertson","New South Wales","abstudy__living_allowance_",91
"Shortland","New South Wales","abstudy__living_allowance_",65
"Sydney","New South Wales","abstudy__living_allowance_",146
"Throsby","New South Wales","abstudy__living_allowance_",63
"Warringah","New South Wales","abstudy__living_allowance_",20
"Watson","New South Wales","abstudy__living_allowance_",30
"Wentworth","New South Wales","abstudy__living_allowance_",23
"Werriwa","New South Wales","abstudy__living_allowance_",35
"Aston","Victoria","abstudy__living_allowance_",20
"Ballarat","Victoria","abstudy__living_allowance_",31
"Batman","Victoria","abstudy__living_allowance_",47
"Bendigo","Victoria","abstudy__living_allowance_",34
"Bruce","Victoria","abstudy__living_allowance_",20
"Calwell","Victoria","abstudy__living_allowance_",25
"Casey","Victoria","abstudy__living_allowance_",20
"Chisholm","Victoria","abstudy__living_allowance_",20
"Corangamite","Victoria","abstudy__living_allowance_",20
"Corio","Victoria","abstudy__living_allowance_",20
"Deakin","Victoria","abstudy__living_allowance_",20
"Dunkley","Victoria","abstudy__living_allowance_",20
"Flinders","Victoria","abstudy__living_allowance_",20
"Gellibrand","Victoria","abstudy__living_allowance_",24
"Gippsland","Victoria","abstudy__living_allowance_",36
"Goldstein","Victoria","abstudy__living_allowance_",20
"Gorton","Victoria","abstudy__living_allowance_",20
"Higgins","Victoria","abstudy__living_allowance_",20
"Holt","Victoria","abstudy__living_allowance_",20
"Hotham","Victoria","abstudy__living_allowance_",20
"Indi","Victoria","abstudy__living_allowance_",29
"Isaacs","Victoria","abstudy__living_allowance_",20
"Jagajaga","Victoria","abstudy__living_allowance_",20
"Kooyong","Victoria","abstudy__living_allowance_",20
"La Trobe","Victoria","abstudy__living_allowance_",20
"Lalor","Victoria","abstudy__living_allowance_",22
"Mallee","Victoria","abstudy__living_allowance_",51
"Maribyrnong","Victoria","abstudy__living_allowance_",20
"McEwen","Victoria","abstudy__living_allowance_",20
"McMillan","Victoria","abstudy__living_allowance_",20
"Melbourne","Victoria","abstudy__living_allowance_",70
"Melbourne Ports","Victoria","abstudy__living_allowance_",28
"Menzies","Victoria","abstudy__living_allowance_",20
"Murray","Victoria","abstudy__living_allowance_",58
"Scullin","Victoria","abstudy__living_allowance_",25
"Wannon","Victoria","abstudy__living_allowance_",20
"Wills","Victoria","abstudy__living_allowance_",38
"Blair","Queensland","abstudy__living_allowance_",93
"Bonner","Queensland","abstudy__living_allowance_",57
"Bowman","Queensland","abstudy__living_allowance_",26
"Brisbane","Queensland","abstudy__living_allowance_",90
"Capricornia","Queensland","abstudy__living_allowance_",50
"Dawson","Queensland","abstudy__living_allowance_",52
"Dickson","Queensland","abstudy__living_allowance_",25
"Fadden","Queensland","abstudy__living_allowance_",52
"Fairfax","Queensland","abstudy__living_allowance_",47
"Fisher","Queensland","abstudy__living_allowance_",37
