"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"Banks","New South Wales","family_tax_benefit_a",10234
"Barton","New South Wales","family_tax_benefit_a",9260
"Bennelong","New South Wales","family_tax_benefit_a",7217
"Berowra","New South Wales","family_tax_benefit_a",5033
"Blaxland","New South Wales","family_tax_benefit_a",17989
"Bradfield","New South Wales","family_tax_benefit_a",4465
"Calare","New South Wales","family_tax_benefit_a",11247
"Charlton","New South Wales","family_tax_benefit_a",9785
"Chifley","New South Wales","family_tax_benefit_a",18779
"Cook","New South Wales","family_tax_benefit_a",6050
"Cowper","New South Wales","family_tax_benefit_a",13107
"Cunningham","New South Wales","family_tax_benefit_a",8089
"Dobell","New South Wales","family_tax_benefit_a",12197
"Eden-Monaro","New South Wales","family_tax_benefit_a",9335
"Farrer","New South Wales","family_tax_benefit_a",10763
"Fowler","New South Wales","family_tax_benefit_a",17230
"Gilmore","New South Wales","family_tax_benefit_a",10513
"Grayndler","New South Wales","family_tax_benefit_a",6218
"Greenway","New South Wales","family_tax_benefit_a",12386
"Hughes","New South Wales","family_tax_benefit_a",8629
"Hume","New South Wales","family_tax_benefit_a",10238
"Hunter","New South Wales","family_tax_benefit_a",10571
"Kingsford Smith","New South Wales","family_tax_benefit_a",6699
"Lindsay","New South Wales","family_tax_benefit_a",13176
"Lyne","New South Wales","family_tax_benefit_a",11078
"Macarthur","New South Wales","family_tax_benefit_a",12136
"Mackellar","New South Wales","family_tax_benefit_a",5662
"Macquarie","New South Wales","family_tax_benefit_a",9446
"McMahon","New South Wales","family_tax_benefit_a",13153
"Mitchell","New South Wales","family_tax_benefit_a",6500
"New England","New South Wales","family_tax_benefit_a",12654
"Newcastle","New South Wales","family_tax_benefit_a",7779
"North Sydney","New South Wales","family_tax_benefit_a",3569
"Page","New South Wales","family_tax_benefit_a",12476
"Parkes","New South Wales","family_tax_benefit_a",13036
"Parramatta","New South Wales","family_tax_benefit_a",14200
"Paterson","New South Wales","family_tax_benefit_a",9997
"Reid","New South Wales","family_tax_benefit_a",10348
"Richmond","New South Wales","family_tax_benefit_a",12192
"Riverina","New South Wales","family_tax_benefit_a",11556
"Robertson","New South Wales","family_tax_benefit_a",9757
"Shortland","New South Wales","family_tax_benefit_a",9248
"Sydney","New South Wales","family_tax_benefit_a",4051
"Throsby","New South Wales","family_tax_benefit_a",10613
"Warringah","New South Wales","family_tax_benefit_a",4005
"Watson","New South Wales","family_tax_benefit_a",15607
"Wentworth","New South Wales","family_tax_benefit_a",3135
"Werriwa","New South Wales","family_tax_benefit_a",15510
"Aston","Victoria","family_tax_benefit_a",9030
"Ballarat","Victoria","family_tax_benefit_a",12008
"Batman","Victoria","family_tax_benefit_a",8090
"Bendigo","Victoria","family_tax_benefit_a",11679
"Bruce","Victoria","family_tax_benefit_a",10806
"Calwell","Victoria","family_tax_benefit_a",15113
"Casey","Victoria","family_tax_benefit_a",10804
"Chisholm","Victoria","family_tax_benefit_a",7040
"Corangamite","Victoria","family_tax_benefit_a",9670
"Corio","Victoria","family_tax_benefit_a",11159
"Deakin","Victoria","family_tax_benefit_a",8248
"Dunkley","Victoria","family_tax_benefit_a",10710
"Flinders","Victoria","family_tax_benefit_a",10992
"Gellibrand","Victoria","family_tax_benefit_a",9645
"Gippsland","Victoria","family_tax_benefit_a",11067
"Goldstein","Victoria","family_tax_benefit_a",4228
"Gorton","Victoria","family_tax_benefit_a",18056
"Higgins","Victoria","family_tax_benefit_a",3292
"Holt","Victoria","family_tax_benefit_a",19160
"Hotham","Victoria","family_tax_benefit_a",9564
"Indi","Victoria","family_tax_benefit_a",10844
"Isaacs","Victoria","family_tax_benefit_a",10984
"Jagajaga","Victoria","family_tax_benefit_a",6712
"Kooyong","Victoria","family_tax_benefit_a",3274
"La Trobe","Victoria","family_tax_benefit_a",11004
"Lalor","Victoria","family_tax_benefit_a",19738
"Mallee","Victoria","family_tax_benefit_a",11820
"Maribyrnong","Victoria","family_tax_benefit_a",9947
"McEwen","Victoria","family_tax_benefit_a",16139
"McMillan","Victoria","family_tax_benefit_a",13721
"Melbourne","Victoria","family_tax_benefit_a",5511
"Melbourne Ports","Victoria","family_tax_benefit_a",3735
"Menzies","Victoria","family_tax_benefit_a",6197
"Murray","Victoria","family_tax_benefit_a",12475
"Scullin","Victoria","family_tax_benefit_a",12548
"Wannon","Victoria","family_tax_benefit_a",10493
"Wills","Victoria","family_tax_benefit_a",8612
"Blair","Queensland","family_tax_benefit_a",14439
"Bonner","Queensland","family_tax_benefit_a",8134
"Bowman","Queensland","family_tax_benefit_a",9378
"Brisbane","Queensland","family_tax_benefit_a",3662
"Capricornia","Queensland","family_tax_benefit_a",8819
"Dawson","Queensland","family_tax_benefit_a",9142
"Dickson","Queensland","family_tax_benefit_a",9865
"Fadden","Queensland","family_tax_benefit_a",13040
"Fairfax","Queensland","family_tax_benefit_a",11057
"Fisher","Queensland","family_tax_benefit_a",10051
"Flynn","Queensland","family_tax_benefit_a",9454
"Forde","Queensland","family_tax_benefit_a",15114
"Griffith","Queensland","family_tax_benefit_a",5327
"Groom","Queensland","family_tax_benefit_a",11198
"Herbert","Queensland","family_tax_benefit_a",12186
"Hinkler","Queensland","family_tax_benefit_a",11957
"Kennedy","Queensland","family_tax_benefit_a",13112
"Leichhardt","Queensland","family_tax_benefit_a",15831
"Lilley","Queensland","family_tax_benefit_a",8200
"Longman","Queensland","family_tax_benefit_a",14366
"Maranoa","Queensland","family_tax_benefit_a",12421
